url,status,redirects,title,description,canonical,h1,html_bytes,transfer_bytes,inline_css_bytes,body_words_including_navigation,incoming_pages,depth,jsonld_errors,schema_types,robots
https://cognis.group/,200,0,"Cognis Group | AI Consulting, Strategy & Agent Engineering","Lagos-based AI consulting firm helping organisations across Nigeria, Africa and beyond plan AI, train their people and build safe tools that improve everyday work.",https://cognis.group/,"What We Touch, We Change.",151312,23254,15795,1107,40,0,0,Organization; ImageObject; Person; Place; PostalAddress; ContactPoint; OfferCatalog; Offer; Service; Audience; WebSite; WebPage; BreadcrumbList; ListItem,"index, follow, max-snippet:-1, max-image-preview:large, max-video-preview:-1"
https://cognis.group/about-us/,200,0,About Us | Cognis Group,"Meet Cognis Group, a Lagos AI consulting and engineering firm helping organisations across Africa plan, build and use AI with confidence.",https://cognis.group/about-us/,Helping African organisations put AI to work,67107,11685,5084,368,40,1,0,Organization; ImageObject; Person; Place; PostalAddress; ContactPoint; OfferCatalog; Offer; Service; Audience; WebSite; AboutPage; BreadcrumbList; ListItem,max-image-preview:large
https://cognis.group/our-services/,200,0,Our Services | Cognis Group,"AI strategy, workforce training and practical automation from one senior-led Cognis team, from the first decision to everyday use.",https://cognis.group/our-services/,AI services built around real work.,71133,12955,5045,559,40,1,0,Organization; ImageObject; Person; Place; PostalAddress; ContactPoint; OfferCatalog; Offer; Service; Audience; WebSite; CollectionPage; BreadcrumbList; ListItem,max-image-preview:large
https://cognis.group/our-services/ai-strategy-advisory/,200,0,AI Strategy & Advisory | Cognis Group,"Choose the right AI opportunities and get a clear plan with priorities, owners, costs, safeguards and measures of success.",https://cognis.group/our-services/ai-strategy-advisory/,Smarter strategy. Powered by AI.,691546,100881,318174,1506,29,1,0,Organization; ImageObject; Person; Place; PostalAddress; ContactPoint; OfferCatalog; Offer; Service; Audience; WebSite; WebPage; BreadcrumbList; ListItem; FAQPage; Question; Answer,max-image-preview:large
https://cognis.group/our-services/ai-training-workforce-development/,200,0,AI Training & Workforce Development | Cognis Group,"Practical, role-based AI training that helps leaders and teams work better, check AI output and use approved tools safely.",https://cognis.group/our-services/ai-training-workforce-development/,AI-ready teams. Built to last.,691619,100473,318174,1450,30,1,0,Organization; ImageObject; Person; Place; PostalAddress; ContactPoint; OfferCatalog; Offer; Service; Audience; WebSite; WebPage; BreadcrumbList; ListItem; FAQPage; Question; Answer,max-image-preview:large
https://cognis.group/our-services/ai-agent-automation-engineering/,200,0,AI Agent & Automation Engineering | Cognis Group,"We build AI tools that handle agreed steps in business processes, with clear limits, human approval and monitoring.",https://cognis.group/our-services/ai-agent-automation-engineering/,Agents that ship. Automation that scales.,692475,101035,318174,1551,31,1,0,Organization; ImageObject; Person; Place; PostalAddress; ContactPoint; OfferCatalog; Offer; Service; Audience; WebSite; WebPage; BreadcrumbList; ListItem; FAQPage; Question; Answer,max-image-preview:large
https://cognis.group/products/,200,0,Products | Cognis Group,"The products Cognis Group builds and operates — Cognis AI, MarketSage, Migratio, and SPOG. Proof that we ship what we sell.",https://cognis.group/products/,Four products. One company.,47041,10584,5534,430,37,1,0,CollectionPage; ItemList; ListItem; SoftwareApplication; Organization; ImageObject; Person; Place; PostalAddress; ContactPoint; OfferCatalog; Offer; Service; Audience; WebSite; BreadcrumbList,
https://cognis.group/why-cognis/,200,0,Africa’s Leading AI Consulting Firm | Cognis Group,"Why organisations choose Cognis: senior-led delivery, strong African context, working AI products and a practical handover.",https://cognis.group/why-cognis/,Africa’s leading AI consulting firm.,66313,13291,5508,797,25,1,0,WebPage; BreadcrumbList; ListItem; FAQPage; Question; Answer; Organization; ImageObject; Person; Place; PostalAddress; ContactPoint; OfferCatalog; Offer; Service; Audience; WebSite,
https://cognis.group/how-we-work/,200,0,How We Work | Cognis Group,"See the six clear steps Cognis uses to understand the problem, plan the work, build, launch and manage a practical AI system.",https://cognis.group/how-we-work/,"Six phases, designed to ship.",77712,14267,5627,807,25,1,0,WebPage; HowTo; HowToStep; Organization; ImageObject; Person; Place; PostalAddress; ContactPoint; OfferCatalog; Offer; Service; Audience; WebSite; BreadcrumbList; ListItem,
https://cognis.group/contact/,200,0,Contact | Cognis Group,"Talk to Cognis Group about a slow, costly or difficult process. We will help you work out whether AI is the right fit.",https://cognis.group/contact/,Reach out today,42112,10441,5037,176,40,1,0,Organization; ImageObject; Person; Place; PostalAddress; ContactPoint; OfferCatalog; Offer; Service; Audience; WebSite; ContactPage; BreadcrumbList; ListItem,max-image-preview:large
https://cognis.group/blog/,200,0,Blog | Cognis Group,"Notes from the field on AI strategy, agent engineering, governance, and operating AI in production.",https://cognis.group/blog/,Latest insights and trends,67889,13856,15590,358,40,1,0,Organization; ImageObject; Person; Place; PostalAddress; ContactPoint; OfferCatalog; Offer; Service; Audience; WebSite; Blog; BlogPosting; BreadcrumbList; ListItem; ItemList,max-image-preview:large
https://cognis.group/blog/why-most-enterprise-ai-strategies-fail-before-they-start/,200,0,Why Most Enterprise AI Strategies Fail | Cognis Group,"Enterprise AI fails at the whiteboard, not the model. The signals that separate strategies that ship from decks that don't.",https://cognis.group/blog/why-most-enterprise-ai-strategies-fail-before-they-start/,Why Most Enterprise AI Deployments Fail — and What Separates the Ones That Succeed,40082,10747,7053,899,2,1,0,Organization; ImageObject; Person; Place; PostalAddress; ContactPoint; OfferCatalog; Offer; Service; Audience; WebSite; WebPage; BlogPosting; BreadcrumbList; ListItem,max-image-preview:large
